subgroup,population_2020,pct_of_city_pop,source
Chinese,66490,1.6,2020 Decennial Census (compiled; see demographics of Chicago)
Asian Indian,38387,1.1,2020 Decennial Census
Filipino,29157,1.1,2020 Decennial Census
Korean,10495,0.4,2020 Decennial Census
Vietnamese,9637,0.3,2020 Decennial Census
Pakistani,8100,0.3,2020 Decennial Census (estimate)
Japanese,6297,0.2,2020 Decennial Census
Other Asian,28441,1.1,2020 Decennial Census (includes Cambodian Hmong Laotian Burmese Thai Nepalese Bangladeshi Bhutanese and others)
