subgroup,population_alone_2020,population_alone_or_combo_2020,source
Asian Indian,87900,134169,2020 Census DHC-A (alone-or-in-any-combination largest Asian group in Cook County)
Chinese,60700,,2020 Census (alone)
Filipino,61700,,2020 Census (alone)
Korean,35000,,2020 Census (alone)
Pakistani,18500,,2020 Census (alone; approx)
Vietnamese,13700,,2020 Census (alone)
Japanese,11100,,2020 Census (alone)
Other Asian,30800,,2020 Census (alone; includes Cambodian Hmong Bangladeshi Burmese Nepalese Thai Laotian Bhutanese and others)
